"const","x1","x2","x1.1","x1.2","x1.3","x2.1","x2.2","x2.3"
1,-10,-10,-0.141486361154363,0.176423777662285,-0.204782828480669,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-9.7979797979798,-10,-0.138572338279622,0.16575135675568,-0.179298949826912,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-9.5959595959596,-10,-0.135658315404882,0.155299854580269,-0.155135961399288,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-9.39393939393939,-10,-0.132744292530142,0.145069271136051,-0.132266280607965,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-9.19191919191919,-10,-0.129830269655402,0.135059606423025,-0.110662324863109,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-8.98989898989899,-10,-0.126916246780661,0.125270860441193,-0.0902965115748874,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-8.78787878787879,-10,-0.124002223905921,0.115703033190553,-0.0711412581534665,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-8.58585858585859,-10,-0.121088201031181,0.106356124671106,-0.0531689820090136,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-8.38383838383838,-10,-0.11817417815644,0.0972301348828525,-0.0363521005516953,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-8.18181818181818,-10,-0.1152601552817,0.0883250638257914,-0.0206630311916785,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-7.97979797979798,-10,-0.11234613240696,0.0796409114999234,-0.00607419133913015,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-7.77777777777778,-10,-0.10943210953222,0.0711776779052482,0.00744200159578297,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-7.57575757575758,-10,-0.106518086657479,0.0629353630417659,0.019913130202894,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-7.37373737373737,-10,-0.103604063782739,0.0549139669094765,0.0313667770720361,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-7.17171717171717,-10,-0.100690040907999,0.0471134895083799,0.0418305247930424,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-6.96969696969697,-10,-0.0977760180332585,0.0395339308384763,0.0513319559557461,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-6.76767676767677,-10,-0.0948619951585182,0.0321752908997656,0.0598986531499803,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-6.56565656565657,-10,-0.0919479722837779,0.0250375696922477,0.0675581989655781,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-6.36363636363636,-10,-0.0890339494090377,0.0181207672159228,0.0743381759923728,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-6.16161616161616,-10,-0.0861199265342974,0.0114248834707907,0.0802661668201973,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-5.95959595959596,-10,-0.0832059036595571,0.00494991845685154,0.085369754038885,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-5.75757575757576,-10,-0.0802918807848168,-0.00130412782589471,0.089676520238269,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-5.55555555555556,-10,-0.0773778579100766,-0.00733725537744811,0.0932140480081823,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-5.35353535353535,-10,-0.0744638350353363,-0.0131494641978086,0.0960099199384582,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-5.15151515151515,-10,-0.071549812160596,-0.0187407542869762,0.0980917186189298,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-4.94949494949495,-10,-0.0686357892858557,-0.0241111256449509,0.0994870266394303,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-4.74747474747475,-10,-0.0657217664111154,-0.0292605782717327,0.100223426589793,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-4.54545454545455,-10,-0.0628077435363752,-0.0341891121673216,0.10032850105985,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-4.34343434343434,-10,-0.0598937206616349,-0.0388967273317176,0.0998298326394362,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-4.14141414141414,-10,-0.0569796977868946,-0.0433834237649207,0.0987550039183835,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-3.93939393939394,-10,-0.0540656749121543,-0.0476492014669309,0.0971315974865254,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-3.73737373737374,-10,-0.0511516520374141,-0.0516940604377482,0.0949871959336951,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-3.53535353535354,-10,-0.0482376291626738,-0.0555180006773727,0.0923493818497256,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-3.33333333333333,-10,-0.0453236062879335,-0.0591210221858042,0.0892457378244503,-0.140292360139871,0.154300141794716,-0.179017148911567
1,-3.13131313131313,-10,-0.0424095834131932,-0.0625031249630429,0.085703846447702,-0.140292360139871,0.154300141794716,-0.179017148911567
